"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 07 13:30:47 IST 2022","Mon Nov 07 13:31:00 IST 2022","12794","All Test Suite","Add Patient Test","Tests.AddPatient","Tests.AddPatient","addPatient","Check Add Patient flow",""
"passed","Mon Nov 07 13:35:04 IST 2022","Mon Nov 07 13:35:08 IST 2022","4172","All Test Suite","Search Patient","Tests.SearchPatient","Tests.SearchPatient","searchPatientNegFlow","Check negative search patient flow",""
"passed","Mon Nov 07 13:30:11 IST 2022","Mon Nov 07 13:30:15 IST 2022","4287","All Test Suite","Login Page","Tests.LoginLogout","Tests.LoginLogout","invalidUserName","Check logout flow",""
"broken","Mon Nov 07 13:31:36 IST 2022","Mon Nov 07 13:31:42 IST 2022","6236","All Test Suite","Upload and Analyse","Tests.UploadAndAnalyse","Tests.UploadAndAnalyse","uploadAndAnalyze","Check U&A flow for bitewing image",""
"passed","Mon Nov 07 13:31:00 IST 2022","Mon Nov 07 13:31:15 IST 2022","14581","All Test Suite","Add Patient Test","Tests.AddPatient","Tests.AddPatient","addPatientWithInvalidName","Check add patient flow with invalid name input",""
"passed","Mon Nov 07 13:30:15 IST 2022","Mon Nov 07 13:30:25 IST 2022","10196","All Test Suite","Login Page","Tests.LoginLogout","Tests.LoginLogout","loginflow","Check login flow",""
"broken","Mon Nov 07 13:31:59 IST 2022","Mon Nov 07 13:32:16 IST 2022","16968","All Test Suite","Upload and Analyse","Tests.UploadAndAnalyse","Tests.UploadAndAnalyse","uAndARegession","Upload and analyze Regression flow",""
"passed","Mon Nov 07 13:34:57 IST 2022","Mon Nov 07 13:35:04 IST 2022","6390","All Test Suite","Search Patient","Tests.SearchPatient","Tests.SearchPatient","searchPatientFlow","Check search patient flow",""
"broken","Mon Nov 07 13:32:48 IST 2022","Mon Nov 07 13:33:04 IST 2022","15917","All Test Suite","Upload and Analyse","Tests.UploadAndAnalyse","Tests.UploadAndAnalyse","doctorsNotes","Doctors Notes Flow",""
"passed","Mon Nov 07 13:35:55 IST 2022","Mon Nov 07 13:36:02 IST 2022","6547","All Test Suite","Settings","Tests.Settings","Tests.Settings","settingsFlow","Check settings flow",""
"passed","Mon Nov 07 13:36:12 IST 2022","Mon Nov 07 13:36:12 IST 2022","89","All Test Suite","Settings","Tests.Settings","Tests.Settings","settingsFlow4","Check negative settings flow",""
"passed","Mon Nov 07 13:30:02 IST 2022","Mon Nov 07 13:30:06 IST 2022","4254","All Test Suite","Login Page","Tests.LoginLogout","Tests.LoginLogout","iconVisibility","Check logout flow",""
"passed","Mon Nov 07 13:31:15 IST 2022","Mon Nov 07 13:31:15 IST 2022","15","All Test Suite","Add Patient Test","Tests.AddPatient","Tests.AddPatient","addPatientbtn","Check Add Patient flow",""
"passed","Mon Nov 07 13:36:09 IST 2022","Mon Nov 07 13:36:12 IST 2022","2212","All Test Suite","Settings","Tests.Settings","Tests.Settings","settingsFlow3","Check negative settings flow",""
"passed","Mon Nov 07 13:29:58 IST 2022","Mon Nov 07 13:30:02 IST 2022","4066","All Test Suite","Login Page","Tests.LoginLogout","Tests.LoginLogout","emptyCredentials","Check logout flow",""
"passed","Mon Nov 07 13:36:02 IST 2022","Mon Nov 07 13:36:09 IST 2022","7629","All Test Suite","Settings","Tests.Settings","Tests.Settings","settingsFlow2","Check negative settings flow",""
"passed","Mon Nov 07 13:36:12 IST 2022","Mon Nov 07 13:36:17 IST 2022","5514","All Test Suite","Settings","Tests.Settings","Tests.Settings","settingsFlow5","Check negative settings flow",""
"broken","Mon Nov 07 13:32:16 IST 2022","Mon Nov 07 13:32:32 IST 2022","16478","All Test Suite","Upload and Analyse","Tests.UploadAndAnalyse","Tests.UploadAndAnalyse","teethNumbering","Teeth Numbering Flow",""
"broken","Mon Nov 07 13:32:32 IST 2022","Mon Nov 07 13:32:48 IST 2022","15725","All Test Suite","Upload and Analyse","Tests.UploadAndAnalyse","Tests.UploadAndAnalyse","addNotes","Add Notes Flow",""
"passed","Mon Nov 07 13:33:54 IST 2022","Mon Nov 07 13:34:38 IST 2022","44492","All Test Suite","Chatbot","Tests.Chatbot","Tests.Chatbot","ChatBot","Check ChatBot flow",""
"passed","Mon Nov 07 13:36:36 IST 2022","Mon Nov 07 13:36:50 IST 2022","13729","All Test Suite","Patients Flow","Tests.Patient","Tests.Patient","PatientVisits","Check patient visits flow",""
"broken","Mon Nov 07 13:31:42 IST 2022","Mon Nov 07 13:31:59 IST 2022","16658","All Test Suite","Upload and Analyse","Tests.UploadAndAnalyse","Tests.UploadAndAnalyse","periapicalImage","Check U&A flow for periapical image",""
"passed","Mon Nov 07 13:30:25 IST 2022","Mon Nov 07 13:30:28 IST 2022","3140","All Test Suite","Login Page","Tests.LoginLogout","Tests.LoginLogout","logoutflow","Check logout flow",""
"passed","Mon Nov 07 13:35:16 IST 2022","Mon Nov 07 13:35:36 IST 2022","20736","All Test Suite","Support","Tests.Support","Tests.Support","supportFlow","Check support flow",""
